,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,TE 커넥티비티,124.81,125.41,124.62,0.2,0.16%,296.79K,0:54:05,
,웨스트록,36.52,36.62,36.22,0.3,0.83%,296.54K,0:54:10,
,에스티 로더,217.34,218.49,216.37,0.7,0.32%,293.16K,0:52:49,
,티 로우 프라이스,122.18,122.45,120.34,1.05,0.87%,297.33K,0:54:11,
,버텍스 파마슈티컬,315.12,316.28,312.47,-0.18,-0.06%,292.00K,0:54:14,
,하우멧 에어로스페이스,37.21,37.35,36.99,0.18,0.49%,292.17K,0:53:38,
,시그나,320.01,321.14,318.63,0.51,0.16%,287.74K,0:53:00,
,써모 피셔 사이언티픽,534.1,539.03,533.53,-5.93,-1.10%,291.12K,0:53:26,
,보스턴프로퍼티즈,71.36,71.65,69.6,1.77,2.54%,277.16K,0:53:54,
,셀라니즈,105.19,105.22,101.52,4.42,4.39%,274.77K,0:53:25,
,메리어트인터내셔널,160.83,161.41,159,1.94,1.22%,274.65K,0:54:11,
,시스코,85.86,86.36,85.75,-0.07,-0.09%,272.08K,0:53:59,
,마쉬 앤 맥레넌,169.19,170.1,167.61,0.81,0.48%,268.79K,0:54:00,
,덴츠플라이,30.66,30.79,30.16,0.2,0.64%,266.30K,0:54:04,
,펄티 그룹,44.18,44.21,43.4,0.36,0.82%,261.31K,0:53:35,
,마스코,49.54,49.71,49.17,-0.24,-0.48%,261.29K,0:54:11,
,NXP세미컨덕터즈,165.6,166.26,163.19,1.5,0.92%,262.17K,0:53:55,
,클로락스,146.91,148.95,146.85,-2.12,-1.42%,261.55K,0:54:07,
,파카,104.24,104.79,103.57,0.63,0.61%,259.40K,0:53:39,
,에쿼티 레지덴셜,63.1,63.11,61.91,0.91,1.46%,259.41K,0:54:03,
,오토데스크,192.83,196.53,192.83,-2.52,-1.29%,260.58K,0:54:12,
,뉴코,149.12,150.89,148.05,1.59,1.08%,253.72K,0:53:59,
,PPG 인더스트리즈,132,132.49,130.7,1.7,1.30%,249.81K,0:54:09,
,아리스타 네트웍스,133.22,134.11,132.56,-0.47,-0.36%,250.08K,0:54:07,
,자이언스 뱅코프,50.84,50.95,50.13,0.6,1.20%,246.27K,0:54:00,
,테이크투인터랙티브 소프트웨어,101.17,101.97,100.1,-0.09,-0.09%,246.16K,0:54:08,
,ICE,105.95,106.3,104.79,0.87,0.83%,247.33K,0:53:53,
,디스커버 파이낸셜 서비스,108.33,108.74,106.7,1.48,1.39%,243.94K,0:54:07,
,에버소스 에너지,81.04,81.7,80.53,-0.68,-0.83%,245.69K,0:53:38,
,해즈브로,62.68,63.11,61.81,0.91,1.47%,242.04K,0:53:51,
,보그워너,42.16,42.28,41.68,0.63,1.52%,241.67K,0:54:02,
,S&P Global,350.38,351.73,348.11,-0.63,-0.18%,239.42K,0:54:07,
,처브,216.91,217.14,214.74,1.51,0.70%,240.95K,0:54:00,
,암페놀,77.91,78.25,77.78,0.09,0.12%,238.37K,0:54:04,
,CMS,60.35,60.49,59.64,-0.45,-0.74%,235.02K,0:53:27,
,울타 뷰티,449.61,457.31,449.61,-7.63,-1.67%,236.13K,0:53:31,
,코르테바,65.58,65.74,65.01,0.65,1.00%,234.45K,0:54:01,
,바이오젠,291.3,293.83,288.44,-0.6,-0.21%,230.73K,0:53:53,
,Principal Financial,90.18,90.39,89.23,0.64,0.71%,229.69K,0:52:45,
,아메리칸 타워,215.38,215.83,213.32,1.48,0.69%,233.26K,0:54:00,
,킴벌리클라크,132.72,133.2,132.26,-0.58,-0.44%,228.83K,0:53:05,
,엔터지,112.69,112.92,111.81,-0.56,-0.49%,230.30K,0:54:02,
,다든 레스토랑,145.12,146.21,144.55,-1.7,-1.16%,229.76K,0:54:02,
,디지털리얼,108.93,108.99,107.31,1.45,1.35%,230.40K,0:54:09,
,일렉트로닉 아츠,128.03,128.72,127.46,-0.13,-0.10%,228.39K,0:54:10,
,휴매너,532.64,535.05,530.02,-1.65,-0.31%,226.60K,0:54:13,
,나스닥,66.43,66.72,65.93,0.16,0.24%,224.07K,0:54:04,
,램웨스턴,85.21,86.4,85.21,-0.26,-0.30%,224.22K,0:54:08,
,스테이트 스트리트,73.75,73.88,72.85,0.23,0.32%,223.73K,0:54:03,
,브로드컴,523.43,525.85,522.08,1.22,0.23%,222.51K,0:54:13,
,알래스카 항공,46.22,46.41,45.87,0.44,0.96%,221.83K,0:52:25,
,CME그룹,173.78,174.1,172.77,0.65,0.38%,216.55K,0:54:13,
,올스테이트,132.38,132.69,130.03,0.51,0.39%,213.53K,0:54:15,
,아비오메드,377.5,377.83,377.37,0.27,0.07%,210.98K,0:52:55,
,이튼,162.17,162.98,161.65,-0.38,-0.23%,214.15K,0:54:03,
,트레인 테크놀로지,174.85,175.69,174.4,0.46,0.26%,213.69K,0:54:14,
,M&T 뱅크,171.17,171.29,169.45,1.65,0.97%,208.55K,0:54:03,
,파카 하니핀,295.81,299,294.48,0.74,0.25%,208.23K,0:53:29,
,인튜이티브 서지컬,261.09,262.99,261.09,-1.55,-0.59%,202.21K,0:54:11,
,일리노이 툴 웍스,223.12,224.91,222.98,-1.04,-0.46%,201.48K,0:52:48,
,아메텍,139.43,139.9,138.84,0.07,0.05%,195.89K,0:53:23,
,레나,86.26,86.26,84.67,0.91,1.07%,194.70K,0:54:15,
,어드밴스 오토파츠,148.91,150.67,148.36,-1.71,-1.13%,194.17K,0:54:09,
,헨리 샤인,80.95,80.99,80,0.67,0.83%,191.60K,0:54:00,
,아이큐비아 홀딩스,214.5,215.69,213.19,0.06,0.03%,191.34K,0:53:41,
,에코랩,145.77,146.09,144.34,0.29,0.20%,188.56K,0:53:09,
,셔윈 윌리엄스,244.32,246.82,242.58,-1.24,-0.51%,195.40K,0:54:06,
,링컨 내셔널,38.12,38.31,37.46,0.56,1.49%,188.18K,0:54:01,
,도버,139.79,140.22,138.48,0.96,0.70%,190.19K,0:54:13,
,맥케슨,381.67,382.53,378.42,1.33,0.35%,186.76K,0:52:54,
,케이든스디자인시스템,163.69,165.36,163.51,-1.25,-0.76%,188.15K,0:54:13,
,롤린스,39.5,39.94,39.5,-0.28,-0.70%,190.85K,0:54:11,
,스카이웍스 솔루션즈,91.68,92.08,91.31,0.44,0.48%,185.93K,0:54:08,
,프루덴셜,106.64,106.76,105.2,1.09,1.03%,184.60K,0:54:05,
,액센츄어,290.2,290.61,289.12,-0.4,-0.14%,182.92K,0:53:05,
,엑스트라 스페이스 스토리지,153.41,153.87,152.53,0.86,0.56%,185.06K,0:54:06,
,Charles River Laboratories Intl,241.4,241.63,237.05,4.29,1.81%,197.84K,0:54:06,
,PVH - 필립스 반 호이젠,64.39,64.62,62.77,2.04,3.27%,182.13K,0:54:01,
,레이먼드 제임스,115.92,116.43,115.55,0.07,0.06%,181.87K,0:53:39,
,포티브 코퍼레이션,65.65,65.83,65.19,0.07,0.11%,180.96K,0:54:02,
,애머렌,87.56,87.65,87.03,-0.38,-0.43%,176.98K,0:53:38,
,짐머 바이오메트,118.7,118.85,117.09,1.03,0.88%,176.50K,0:53:24,
,코메리카,70.79,70.96,70.03,0.66,0.94%,178.98K,0:54:10,
,일루미나,213.16,217.51,213.15,-3.75,-1.73%,177.72K,0:54:11,
,노퍽 서던,251.52,252.86,249.38,2.97,1.19%,174.32K,0:52:30,
,퍼블릭 스토리지,290.02,290.31,288.04,1.47,0.51%,171.80K,0:52:48,
,애질런트 테크놀로지스,151.98,152.9,151.37,-0.32,-0.21%,170.82K,0:54:08,
,베리스크 어낼리틱스,177.19,177.91,174.93,-0.35,-0.20%,168.74K,0:52:45,
,벡톤 디킨슨,238.35,238.81,235.57,1.01,0.43%,170.86K,0:54:03,
,램리서치,447.76,450.3,445.45,4.53,1.02%,167.56K,0:53:00,
,솔라엣지,295.85,298,287.7,0.4,0.13%,165.89K,0:53:49,
,리퍼블릭 서비스,136.47,136.88,135.41,-0.05,-0.04%,164.72K,0:53:46,
,Signature Bank,136.79,137.65,134.34,2.52,1.88%,165.28K,0:54:14,
,옴니콤,78.92,79.17,78.12,0.77,0.99%,165.27K,0:54:11,
,오토매틱 데이터 프로세싱,257.74,258.71,257.15,-0.59,-0.23%,165.50K,0:54:09,
,스트라이커,227.75,228.91,226.53,0.47,0.21%,161.56K,0:53:51,
,C.H.로빈슨,97.35,98.69,97.3,-0.32,-0.33%,160.59K,0:54:00,
,아메리소스버진,167.85,168.15,166.47,0.69,0.41%,157.80K,0:52:50,
,콘 에디슨,95.88,96.19,95.42,-0.66,-0.68%,157.91K,0:54:00,
,DXC 테크놀로지,29.45,29.59,28.99,0.5,1.73%,156.96K,0:53:38,
,트랙터 서플라이,220.35,221.78,218.53,-1.53,-0.69%,156.93K,0:53:55,
,앤시스,240.85,241.33,240.04,-0.9,-0.37%,152.94K,0:53:56,
,패키징,132.84,132.94,129.96,2.75,2.11%,154.09K,0:53:22,
,PNC 파이낸셜,164.65,164.87,162.26,2.04,1.25%,151.35K,0:53:52,
,Air Products,303.69,306.18,303.1,-0.76,-0.25%,150.83K,0:53:00,
,트래블러스,187.13,187.73,185.28,0.81,0.43%,150.50K,0:53:55,
,CBRE A,75.94,76.18,74.71,0.85,1.14%,149.09K,0:54:03,
,KLA Corp,375.55,377.01,374.06,0.62,0.17%,147.74K,0:53:06,
,SVB 파이낸셜,221.76,223.26,217.56,4.24,1.95%,146.89K,0:54:12,
,폭스 B,29.56,29.61,29.03,0.31,1.06%,144.03K,0:54:08,
,페이첵스,119.92,121.03,119.69,-0.56,-0.46%,142.70K,0:53:39,
,HCA Holdings Inc,236.68,237.38,232.87,2.33,0.99%,142.67K,0:53:50,
,리제네론 파마슈티컬스,731.96,739.9,727.54,-9.52,-1.28%,143.46K,0:54:07,
,코파츠,64.64,64.98,64.39,-0.41,-0.64%,142.11K,0:53:38,
,포춘 브랜즈 홈 & 시큐리티,65.48,65.59,64.43,0.59,0.91%,140.99K,0:53:23,
,코르보,95.62,95.94,93.88,1.41,1.50%,139.73K,0:53:57,
,이스트만케미컬,85.69,86.19,84.63,1.22,1.44%,140.37K,0:54:02,
,키사이트 테크놀로지,174.5,174.97,173.06,0.92,0.53%,136.96K,0:53:18,
,펜테어,44.96,45.05,44.22,0.43,0.97%,136.12K,0:52:04,
,허쉬,229.5,232.59,229.5,-3.13,-1.35%,141.45K,0:54:03,
,서비스나우,400.77,402.17,399.33,-1.16,-0.29%,135.67K,0:53:00,
,Epam Systems,352.67,354.53,348.89,2.5,0.72%,140.27K,0:54:10,
,록히드 마틴,483.7,485.1,481.74,0.49,0.10%,136.45K,0:54:11,
,DTE 에너지,114.77,115.29,113.89,-0.53,-0.46%,133.97K,0:53:46,
,WEC 에너지그룹,97.04,97.2,96.19,-0.5,-0.51%,131.31K,0:54:10,
,차터커뮤니케이션,386.16,387.03,382.93,1.69,0.44%,130.94K,0:52:48,
,A.O 스미스,59.57,59.99,59.45,-0.19,-0.32%,130.52K,0:54:10,
,몰슨 쿠어스 양조,55.25,55.36,54.74,0.32,0.58%,127.98K,0:52:44,
,퍼스트리퍼블릭뱅크,121.65,121.87,120.34,1.09,0.90%,127.54K,0:51:55,
,아서 J 갤러거,197.04,197.59,195.95,0.61,0.31%,128.24K,0:54:02,
,Atmos Energy Corp,118.1,118.48,117.05,0.03,0.03%,122.27K,0:52:48,
,오릴리 오토모티브,846.26,854.5,844.86,-6.29,-0.74%,122.48K,0:54:01,
,아이언마운틴,53.75,53.9,53.03,0.48,0.90%,123.56K,0:53:22,
,아카마이,91.22,91.75,91.12,-0.33,-0.36%,121.87K,0:54:05,
,Elevance Health,514.12,515.09,511.19,1.34,0.26%,120.28K,0:52:01,
,홀로직,74.16,74.32,73.07,0.31,0.42%,120.99K,0:54:08,
,커민스,247.06,249.3,245.33,1.42,0.58%,119.09K,0:53:03,
,퀘스트 다이아그노스틱스,149.34,149.57,148.31,0.27,0.18%,119.88K,0:53:48,
,SBA커뮤니케이션,293.38,298.87,291.14,0.12,0.04%,119.01K,0:54:04,
,제너럴 다이내믹스,251.1,251.75,250.11,0.61,0.24%,113.59K,0:53:55,
,브로드리지,144.11,146.5,143.98,-2.39,-1.63%,114.10K,0:53:27,
,블랙록,721.14,724.77,720.15,-0.03,0.00%,112.73K,0:54:11,
,Brown & Brown Inc,57.94,58.12,57.4,0.05,0.09%,112.06K,0:54:03,
,LKQ,53.43,53.86,53.35,-0.35,-0.65%,107.84K,0:51:44,
,Pinnacle West,75.92,76.52,75.83,-0.67,-0.87%,108.70K,0:54:01,
,Trimble,56.64,57.41,56.57,-0.82,-1.43%,106.13K,0:53:00,
,가민,90.22,90.38,89,0.55,0.61%,106.20K,0:54:11,
,에이온,305.64,306.91,304.3,0.37,0.12%,105.34K,0:52:00,
,JM 스머커,150.65,151.69,150.4,-0.92,-0.61%,105.83K,0:53:37,
,올드 도미니언 프레이트 라인,289.55,291.1,287.26,1.23,0.42%,104.17K,0:53:49,
,실드 에어,52.23,52.38,51.32,0.67,1.29%,103.85K,0:53:44,
,로우스,57.27,57.28,56.51,0.51,0.89%,102.77K,0:54:06,
,헌팅턴 잉걸스,230.03,231.65,227.6,1.12,0.49%,104.84K,0:53:55,
,자일럼,110.31,110.49,109.2,0.7,0.64%,101.58K,0:52:57,
,벌칸 머티리얼,179.49,180.37,178.76,-0.2,-0.11%,106.37K,0:53:50,
,에섹스 프로퍼티 트러스트,213.06,213.06,209.17,2.6,1.24%,101.92K,0:54:11,
,제뉴인 파츠,181.3,183.68,181.29,-1.93,-1.05%,106.66K,0:54:04,
,Wr Berkley Corp,75.06,75.15,74.45,0.27,0.35%,99.36K,0:54:13,
,세리디안 HCM 홀딩,65.19,65.57,64.46,0.28,0.43%,99.09K,0:53:23,
,아발론베이,170.45,170.48,167.59,2.38,1.42%,95.76K,0:52:52,
,에퀴닉스,669.85,671.19,655.93,7.24,1.09%,95.72K,0:53:42,
,월풀,145,145.21,142.7,1.18,0.82%,93.60K,0:51:37,
,J.B 헌트트랜스포트서비스,177.03,178.18,176.48,0.83,0.47%,93.41K,0:52:07,
,래버러토리 코퍼레이션,240.72,240.72,237.02,2.36,0.99%,93.79K,0:53:51,
,얼라인테크놀로지,191.94,192.49,187.36,2.16,1.14%,93.15K,0:51:53,
,텍스트론,70.32,70.59,69.86,0.68,0.98%,90.41K,0:53:06,
,로버트 하프,76.58,76.79,75.67,0.55,0.72%,91.82K,0:53:39,
,아메리칸워터웍스,148.22,148.88,147.7,-1.53,-1.02%,87.18K,0:53:58,
,셈프라 에너지,162,162.45,161.46,-1.08,-0.66%,86.63K,0:53:28,
,유나이티드렌탈,346.83,348.8,345.55,-0.76,-0.22%,86.24K,0:54:06,
,FMC 코퍼레이션,128.06,128.22,126.53,1.02,0.80%,83.92K,0:53:55,
,잭 헨리 앤 어소시에이츠,187.58,189.64,187.4,-1.22,-0.65%,84.58K,0:53:38,
,Moody’s,291.06,292.87,289.01,-0.83,-0.29%,82.77K,0:51:59,
,인사이트 코퍼레이션,77.61,77.95,77.33,-0.22,-0.29%,82.74K,0:52:58,
,퍼킨엘머,133.81,134.52,133.02,0.13,0.10%,82.62K,0:52:49,
,윌리스,241.48,242.09,237.19,1.91,0.80%,81.81K,0:53:06,
,제이콥스 엔지니어링,121.96,122.51,121,0.19,0.16%,81.62K,0:53:47,
,아이덱스 래버러토리스,402.7,403.62,396.76,2.6,0.65%,80.20K,0:53:04,
,Cboe Global,123.4,124.8,123.27,-0.77,-0.62%,80.06K,0:53:58,
,브라운포맨,71.73,72.02,71.58,-0.2,-0.27%,81.19K,0:54:10,
,로퍼 테크놀로지,422.28,424.58,421.27,-1.75,-0.41%,77.94K,0:52:48,
,에이버리 데니슨,188.47,189.62,187.82,0.74,0.39%,78.62K,0:54:15,
,테라다인,90.38,90.86,89.84,0.16,0.18%,77.33K,0:53:23,
,콴타 서비시즈,144.16,145.17,143.12,0.6,0.42%,77.07K,0:54:02,
,미드아메리카 아파트,160.91,160.9,157.93,2.78,1.75%,75.53K,0:52:29,
,웨스팅하우스 에어브레이크 테크놀로지,99.26,99.48,98.68,0.47,0.48%,75.00K,0:54:10,
,알렉산드리아 리얼 에스테이트 에퀴티스,151.76,151.84,148.24,2.75,1.85%,72.50K,0:54:05,
,에퀴팩스,190.04,190.81,189.01,-0.75,-0.39%,71.52K,0:53:00,
,L3해리스 테크놀로지스,227.1,227.62,225.15,1.24,0.55%,71.49K,0:51:49,
,신타스,451.71,453.28,450.63,-2.63,-0.58%,68.12K,0:50:07,
,부킹홀딩스,"2,020.44","2,027.56","1,985.21",35.54,1.79%,67.89K,0:53:08,
,노던 트러스트,91.48,91.62,90.89,0.28,0.31%,68.29K,0:54:12,
,도미노피자,382.27,383.51,378.46,-0.02,-0.01%,67.62K,0:53:39,
,글로브 라이프,116.75,117,116.04,0.62,0.53%,65.17K,0:52:23,
,Zebra Tech,271.5,273,268.61,2.5,0.93%,66.28K,0:53:35,
,로크웰 오토메이션,261.43,261.86,258.83,0.72,0.27%,64.98K,0:52:26,
,시놉시스,325.77,330.65,325.77,-3.35,-1.02%,65.11K,0:54:06,
,아메리프라이즈 파이낸셜,327.04,327.6,323.81,1.29,0.40%,64.12K,0:51:45,
,유니버셜 헬스 서비스,130.35,130.59,128.26,1.23,0.95%,62.77K,0:53:42,
,노스롭 그루먼,527.05,527.52,523.2,2.17,0.41%,59.32K,0:53:28,
,플리코 테크놀로지스,190.9,190.92,187.45,3.59,1.91%,58.83K,0:50:41,
,West,224.56,225.68,222.87,0.38,0.17%,58.67K,0:48:39,
,워터스 코퍼레이션,330.39,333.52,329.63,-1.21,-0.36%,59.44K,0:53:25,
,페더럴 리얼티 인베,109.58,109.62,107.69,1.91,1.77%,58.83K,0:53:59,
,모토롤라,264.83,266.36,264.67,-1.15,-0.43%,57.01K,0:54:03,
,어슈어런트,126.84,127.42,124.83,1.62,1.30%,57.74K,0:54:11,
,Leidos,108.74,108.84,107.23,0.63,0.58%,56.25K,0:52:58,
,Parametric Tech,123,123.62,122.13,0.42,0.34%,55.90K,0:52:14,
,MSCI Inc,491.5,499.18,490.58,-4.46,-0.90%,54.50K,0:51:21,
,ResMed Inc,226.09,226.5,223.53,0.55,0.24%,54.37K,0:51:57,
,리젠시 센터,65.33,65.44,64.39,0.97,1.51%,53.12K,0:52:35,
,모호크 인더스트리스,100.89,101.04,99.14,1.21,1.21%,50.30K,0:51:20,
,쿠퍼 컴퍼니스,311.27,311.39,307.26,2.94,0.95%,50.23K,0:52:00,
,베리사인,195.79,197.35,195.5,-1.96,-0.99%,50.21K,0:53:04,
,텔레플렉스,226.45,227.57,223.29,1.96,0.87%,49.92K,0:53:21,
,CDW Corp,184.75,185.84,184.75,-0.55,-0.30%,46.73K,0:53:31,
,STERIS,179.66,179.88,177.89,1.42,0.80%,46.00K,0:52:37,
,다비타,73.08,73.11,72.21,1,1.39%,45.55K,0:50:41,
,IDEX,232.61,233.29,231.63,0.78,0.34%,45.38K,0:52:38,
,모놀리틱 파워,359.27,359.68,354.01,3.79,1.06%,45.24K,0:51:55,
,Paycom Soft,327.8,328.44,322.43,2.57,0.79%,44.81K,0:51:15,
,Pool Corp,318.75,319.24,313.96,3.53,1.12%,44.48K,0:51:19,
,가트너,341.85,345.44,341.41,-3.18,-0.92%,44.44K,0:53:46,
,마틴 마리에타,359,361.64,357.05,-0.41,-0.11%,39.84K,0:54:15,
,얼리전,112.17,112.86,111.82,-0.07,-0.07%,39.69K,0:51:14,
,FactSet Research Systems Inc,452.03,455.77,449.49,0.57,0.13%,38.22K,0:52:01,
,트랜스다임 그룹,610.65,612.79,606.69,4.57,0.75%,37.79K,0:51:14,
,신시내티 파이낸셜,108.04,108.12,107.06,0.65,0.61%,35.42K,0:53:23,
,F5 네트웍스,152.1,152.6,151.18,0.69,0.46%,35.08K,0:53:00,
,스냅온,239.84,240.78,239.02,1.11,0.47%,33.91K,0:54:07,
,Tyler Tech,324.64,325.71,323.84,-2.09,-0.64%,31.86K,0:52:33,
,Teledyne Tech,411.75,415.21,411.49,-1.58,-0.38%,28.73K,0:54:00,
,에버레스트 리 그룹,333.06,333.07,329.01,3.92,1.19%,25.91K,0:52:14,
,WW 그레인저,590.62,596.8,590.08,-3.93,-0.66%,25.65K,0:52:40,
,마켓액세스홀딩스,258.34,260.19,252.78,3.72,1.46%,24.76K,0:52:00,
,오토존,"2,542.34","2,570.00","2,527.08",-3.64,-0.14%,23.41K,0:52:18,
,IPG 포토닉스,89.94,90.65,89.04,0.78,0.87%,22.67K,0:52:55,
,Bio-Techne,328.15,331.98,327.52,-2.25,-0.68%,22.63K,0:52:48,
,Bio-Rad Laboratories Inc,398.03,406.57,393.15,-0.38,-0.10%,22.07K,0:53:42,
,치폴레,"1,533.61","1,535.64","1,521.04",6.05,0.40%,19.28K,0:51:32,
,메틀러-토레도 인터내셔널,"1,430.10","1,444.41","1,429.33",-9.79,-0.68%,14.92K,0:52:43,
,NVR Inc,"4,550.00","4,552.40","4,416.60",105.1,2.36%,4.22K,0:50:25,
